open,close,high,low,value,volume,begin,end
3189.16,3196.36,3197.61,3157.55,54632481094.0,0,2023-11-28 00:00:00,2023-11-28 23:59:59
3196.75,3173.52,3200.33,3173.37,45015233407.45,0,2023-11-29 00:00:00,2023-11-29 23:59:59
3176.5,3165.79,3176.53,3146.53,50537955023.75,0,2023-11-30 00:00:00,2023-11-30 23:59:59
3155.87,3142.29,3162.97,3136.56,40584354460.75,0,2023-12-01 00:00:00,2023-12-01 23:59:59
3123.18,3114.41,3126.55,3096.28,49061478048.15,0,2023-12-04 00:00:00,2023-12-04 23:59:59
3102.3,3129.33,3134.57,3090.31,42213609509.25,0,2023-12-05 00:00:00,2023-12-05 23:59:59
3139.89,3079.5,3146.52,3077.94,59384099103.9,0,2023-12-06 00:00:00,2023-12-06 23:59:59
3065.93,3073.63,3084.5,3041.11,60418731501.35,0,2023-12-07 00:00:00,2023-12-07 23:59:59
3079.88,3079.99,3100.22,3067.46,34691761303.6,0,2023-12-08 00:00:00,2023-12-08 23:59:59
3081.88,3026.17,3082.3,3025.74,69692755380.7,0,2023-12-11 00:00:00,2023-12-11 23:59:59
3020.61,3019.89,3046.81,2992.5,61976749445.1,0,2023-12-12 00:00:00,2023-12-12 23:59:59
3011.99,3032.22,3043.42,3002.38,33872208220.5,0,2023-12-13 00:00:00,2023-12-13 23:59:59
3046.43,3008.84,3057.08,3005.94,38101096671.2,0,2023-12-14 00:00:00,2023-12-14 23:59:59
2959.29,3033.89,3037.29,2959.29,72542573400.3,0,2023-12-15 00:00:00,2023-12-15 23:59:59
3052.14,3076.26,3090.04,3048.82,61960968092.0,0,2023-12-18 00:00:00,2023-12-18 23:59:59
3084.12,3083.64,3091.26,3066.34,50806028979.9,0,2023-12-19 00:00:00,2023-12-19 23:59:59
3091.35,3104.66,3113.92,3088.74,53334930887.35,0,2023-12-20 00:00:00,2023-12-20 23:59:59
3093.46,3073.57,3095.01,3050.0,58423925406.6,0,2023-12-21 00:00:00,2023-12-21 23:59:59
3076.31,3092.58,3102.75,3075.56,59800876920.32,0,2023-12-22 00:00:00,2023-12-22 23:59:59
3095.42,3099.02,3108.14,3086.89,65851286285.35,0,2023-12-25 00:00:00,2023-12-25 23:59:59
